log_id,roll_no,course_code,session_date,status
L00001,BSAI-23-001,CS101,22-01-2024,L
L00002,BSAI-23-001,CS101,24-01-2024,P
L00003,BSAI-23-001,CS101,29-01-2024,P
L00004,BSAI-23-001,CS101,31-01-2024,P
L00005,BSAI-23-001,CS101,05-02-2024,P
L00006,BSAI-23-001,CS101,07-02-2024,P
L00007,BSAI-23-001,CS101,12-02-2024,P
L00008,BSAI-23-001,CS101,14-02-2024,L
L00009,BSAI-23-001,CS101,19-02-2024,P
L00010,BSAI-23-001,CS101,21-02-2024,P
L00011,BSAI-23-001,CS101,26-02-2024,P
L00012,BSAI-23-001,CS101,28-02-2024,L
L00013,BSAI-23-001,CS111,23-01-2024,P
L00014,BSAI-23-001,CS111,25-01-2024,A
L00015,BSAI-23-001,CS111,30-01-2024,P
L00016,BSAI-23-001,CS111,01-02-2024,P
L00017,BSAI-23-001,CS111,06-02-2024,P
L00018,BSAI-23-001,CS111,08-02-2024,L
L00019,BSAI-23-001,CS111,13-02-2024,L
L00020,BSAI-23-001,CS111,15-02-2024,P
L00021,BSAI-23-001,CS111,20-02-2024,P
L00022,BSAI-23-001,CS111,22-02-2024,P
L00023,BSAI-23-001,CS111,27-02-2024,L
L00024,BSAI-23-001,CS111,29-02-2024,L
L00025,BSAI-23-001,HU101,22-01-2024,P
L00026,BSAI-23-001,HU101,29-01-2024,P
L00027,BSAI-23-001,HU101,05-02-2024,P
L00028,BSAI-23-001,HU101,12-02-2024,L
L00029,BSAI-23-001,HU101,19-02-2024,P
L00030,BSAI-23-001,HU101,26-02-2024,P
L00031,BSAI-23-001,HU101,04-03-2024,P
L00032,BSAI-23-001,HU101,11-03-2024,P
L00033,BSAI-23-001,HU101,18-03-2024,P
L00034,BSAI-23-001,HU101,25-03-2024,P
L00035,BSAI-23-001,IS101,23-01-2024,P
L00036,BSAI-23-001,IS101,30-01-2024,P
L00037,BSAI-23-001,IS101,06-02-2024,L
L00038,BSAI-23-001,IS101,13-02-2024,P
L00039,BSAI-23-001,IS101,20-02-2024,P
L00040,BSAI-23-001,IS101,27-02-2024,P
L00041,BSAI-23-001,IS101,05-03-2024,P
L00042,BSAI-23-001,IS101,12-03-2024,A
L00043,BSAI-23-001,IS101,19-03-2024,P
L00044,BSAI-23-001,IS101,26-03-2024,P
L00045,BSAI-23-002,CS101,22-01-2024,P
L00046,BSAI-23-002,CS101,24-01-2024,P
L00047,BSAI-23-002,CS101,29-01-2024,P
L00048,BSAI-23-002,CS101,31-01-2024,P
L00049,BSAI-23-002,CS101,05-02-2024,P
L00050,BSAI-23-002,CS101,07-02-2024,L
L00051,BSAI-23-002,CS101,12-02-2024,P
L00052,BSAI-23-002,CS101,14-02-2024,P
L00053,BSAI-23-002,CS101,19-02-2024,P
L00054,BSAI-23-002,CS101,21-02-2024,A
L00055,BSAI-23-002,CS101,26-02-2024,P
L00056,BSAI-23-002,CS101,28-02-2024,P
L00057,BSAI-23-002,CS111,23-01-2024,P
L00058,BSAI-23-002,CS111,25-01-2024,P
L00059,BSAI-23-002,CS111,30-01-2024,P
L00060,BSAI-23-002,CS111,01-02-2024,P
L00061,BSAI-23-002,CS111,06-02-2024,P
L00062,BSAI-23-002,CS111,08-02-2024,P
L00063,BSAI-23-002,CS111,13-02-2024,P
L00064,BSAI-23-002,CS111,15-02-2024,P
L00065,BSAI-23-002,CS111,20-02-2024,P
L00066,BSAI-23-002,CS111,22-02-2024,P
L00067,BSAI-23-002,CS111,27-02-2024,P
L00068,BSAI-23-002,CS111,29-02-2024,P
L00069,BSAI-23-002,HU101,22-01-2024,P
L00070,BSAI-23-002,HU101,29-01-2024,P
L00071,BSAI-23-002,HU101,05-02-2024,P
L00072,BSAI-23-002,HU101,12-02-2024,P
L00073,BSAI-23-002,HU101,19-02-2024,L
L00074,BSAI-23-002,HU101,26-02-2024,P
L00075,BSAI-23-002,HU101,04-03-2024,L
L00076,BSAI-23-002,HU101,11-03-2024,P
L00077,BSAI-23-002,HU101,18-03-2024,P
L00078,BSAI-23-002,HU101,25-03-2024,P
L00079,BSAI-23-002,IS101,23-01-2024,P
L00080,BSAI-23-002,IS101,30-01-2024,P
L00081,BSAI-23-002,IS101,06-02-2024,P
L00082,BSAI-23-002,IS101,13-02-2024,P
L00083,BSAI-23-002,IS101,20-02-2024,P
L00084,BSAI-23-002,IS101,27-02-2024,P
L00085,BSAI-23-002,IS101,05-03-2024,P
L00086,BSAI-23-002,IS101,12-03-2024,P
L00087,BSAI-23-002,IS101,19-03-2024,P
L00088,BSAI-23-002,IS101,26-03-2024,P
L00089,BSAI-23-003,CS101,22-01-2024,P
L00090,BSAI-23-003,CS101,24-01-2024,P
L00091,BSAI-23-003,CS101,29-01-2024,L
L00092,BSAI-23-003,CS101,31-01-2024,P
L00093,BSAI-23-003,CS101,05-02-2024,P
L00094,BSAI-23-003,CS101,07-02-2024,L
L00095,BSAI-23-003,CS101,12-02-2024,L
L00096,BSAI-23-003,CS101,14-02-2024,P
L00097,BSAI-23-003,CS101,19-02-2024,P
L00098,BSAI-23-003,CS101,21-02-2024,P
L00099,BSAI-23-003,CS101,26-02-2024,P
L00100,BSAI-23-003,CS101,28-02-2024,P
L00101,BSAI-23-003,CS111,23-01-2024,P
L00102,BSAI-23-003,CS111,25-01-2024,P
L00103,BSAI-23-003,CS111,30-01-2024,L
L00104,BSAI-23-003,CS111,01-02-2024,P
L00105,BSAI-23-003,CS111,06-02-2024,P
L00106,BSAI-23-003,CS111,08-02-2024,L
L00107,BSAI-23-003,CS111,13-02-2024,L
L00108,BSAI-23-003,CS111,15-02-2024,P
L00109,BSAI-23-003,CS111,20-02-2024,P
L00110,BSAI-23-003,CS111,22-02-2024,P
L00111,BSAI-23-003,CS111,27-02-2024,P
L00112,BSAI-23-003,CS111,29-02-2024,P
L00113,BSAI-23-003,HU101,22-01-2024,P
L00114,BSAI-23-003,HU101,29-01-2024,P
L00115,BSAI-23-003,HU101,05-02-2024,L
L00116,BSAI-23-003,HU101,12-02-2024,P
L00117,BSAI-23-003,HU101,19-02-2024,P
L00118,BSAI-23-003,HU101,26-02-2024,L
L00119,BSAI-23-003,HU101,04-03-2024,L
L00120,BSAI-23-003,HU101,11-03-2024,P
L00121,BSAI-23-003,HU101,18-03-2024,P
L00122,BSAI-23-003,HU101,25-03-2024,P
L00123,BSAI-23-003,IS101,23-01-2024,P
L00124,BSAI-23-003,IS101,30-01-2024,P
L00125,BSAI-23-003,IS101,06-02-2024,L
L00126,BSAI-23-003,IS101,13-02-2024,P
L00127,BSAI-23-003,IS101,20-02-2024,P
L00128,BSAI-23-003,IS101,27-02-2024,L
L00129,BSAI-23-003,IS101,05-03-2024,L
L00130,BSAI-23-003,IS101,12-03-2024,P
L00131,BSAI-23-003,IS101,19-03-2024,P
L00132,BSAI-23-003,IS101,26-03-2024,P
L00133,BSAI-23-004,CS101,22-01-2024,P
L00134,BSAI-23-004,CS101,24-01-2024,P
L00135,BSAI-23-004,CS101,29-01-2024,P
L00136,BSAI-23-004,CS101,31-01-2024,P
L00137,BSAI-23-004,CS101,05-02-2024,P
L00138,BSAI-23-004,CS101,07-02-2024,P
L00139,BSAI-23-004,CS101,12-02-2024,A
L00140,BSAI-23-004,CS101,14-02-2024,P
L00141,BSAI-23-004,CS101,19-02-2024,L
L00142,BSAI-23-004,CS101,21-02-2024,P
L00143,BSAI-23-004,CS101,26-02-2024,P
L00144,BSAI-23-004,CS101,28-02-2024,P
L00145,BSAI-23-004,CS111,23-01-2024,P
L00146,BSAI-23-004,CS111,25-01-2024,P
L00147,BSAI-23-004,CS111,30-01-2024,P
L00148,BSAI-23-004,CS111,01-02-2024,P
L00149,BSAI-23-004,CS111,06-02-2024,P
L00150,BSAI-23-004,CS111,08-02-2024,P
L00151,BSAI-23-004,CS111,13-02-2024,A
L00152,BSAI-23-004,CS111,15-02-2024,L
L00153,BSAI-23-004,CS111,20-02-2024,P
L00154,BSAI-23-004,CS111,22-02-2024,P
L00155,BSAI-23-004,CS111,27-02-2024,P
L00156,BSAI-23-004,CS111,29-02-2024,P
L00157,BSAI-23-004,HU101,22-01-2024,P
L00158,BSAI-23-004,HU101,29-01-2024,A
L00159,BSAI-23-004,HU101,05-02-2024,L
L00160,BSAI-23-004,HU101,12-02-2024,L
L00161,BSAI-23-004,HU101,19-02-2024,A
L00162,BSAI-23-004,HU101,26-02-2024,P
L00163,BSAI-23-004,HU101,04-03-2024,P
L00164,BSAI-23-004,HU101,11-03-2024,P
L00165,BSAI-23-004,HU101,18-03-2024,P
L00166,BSAI-23-004,HU101,25-03-2024,P
L00167,BSAI-23-004,IS101,23-01-2024,P
L00168,BSAI-23-004,IS101,30-01-2024,A
L00169,BSAI-23-004,IS101,06-02-2024,P
L00170,BSAI-23-004,IS101,13-02-2024,P
L00171,BSAI-23-004,IS101,20-02-2024,P
L00172,BSAI-23-004,IS101,27-02-2024,P
L00173,BSAI-23-004,IS101,05-03-2024,P
L00174,BSAI-23-004,IS101,12-03-2024,P
L00175,BSAI-23-004,IS101,19-03-2024,P
L00176,BSAI-23-004,IS101,26-03-2024,L
L00177,BSAI-23-005,CS101,22-01-2024,P
L00178,BSAI-23-005,CS101,24-01-2024,L
L00179,BSAI-23-005,CS101,29-01-2024,P
L00180,BSAI-23-005,CS101,31-01-2024,P
L00181,BSAI-23-005,CS101,05-02-2024,P
L00182,BSAI-23-005,CS101,07-02-2024,P
L00183,BSAI-23-005,CS101,12-02-2024,P
L00184,BSAI-23-005,CS101,14-02-2024,P
L00185,BSAI-23-005,CS101,19-02-2024,P
L00186,BSAI-23-005,CS101,21-02-2024,P
L00187,BSAI-23-005,CS101,26-02-2024,P
L00188,BSAI-23-005,CS101,28-02-2024,P
L00189,BSAI-23-005,CS111,23-01-2024,P
L00190,BSAI-23-005,CS111,25-01-2024,L
L00191,BSAI-23-005,CS111,30-01-2024,P
L00192,BSAI-23-005,CS111,01-02-2024,P
L00193,BSAI-23-005,CS111,06-02-2024,P
L00194,BSAI-23-005,CS111,08-02-2024,P
L00195,BSAI-23-005,CS111,13-02-2024,P
L00196,BSAI-23-005,CS111,15-02-2024,P
L00197,BSAI-23-005,CS111,20-02-2024,P
L00198,BSAI-23-005,CS111,22-02-2024,L
L00199,BSAI-23-005,CS111,27-02-2024,P
L00200,BSAI-23-005,CS111,29-02-2024,P
L00201,BSAI-23-005,HU101,22-01-2024,P
L00202,BSAI-23-005,HU101,29-01-2024,P
L00203,BSAI-23-005,HU101,05-02-2024,P
L00204,BSAI-23-005,HU101,12-02-2024,L
L00205,BSAI-23-005,HU101,19-02-2024,P
L00206,BSAI-23-005,HU101,26-02-2024,P
L00207,BSAI-23-005,HU101,04-03-2024,P
L00208,BSAI-23-005,HU101,11-03-2024,L
L00209,BSAI-23-005,HU101,18-03-2024,P
L00210,BSAI-23-005,HU101,25-03-2024,P
L00211,BSAI-23-005,IS101,23-01-2024,P
L00212,BSAI-23-005,IS101,30-01-2024,P
L00213,BSAI-23-005,IS101,06-02-2024,P
L00214,BSAI-23-005,IS101,13-02-2024,P
L00215,BSAI-23-005,IS101,20-02-2024,L
L00216,BSAI-23-005,IS101,27-02-2024,P
L00217,BSAI-23-005,IS101,05-03-2024,P
L00218,BSAI-23-005,IS101,12-03-2024,P
L00219,BSAI-23-005,IS101,19-03-2024,P
L00220,BSAI-23-005,IS101,26-03-2024,P
L00221,BSAI-23-006,CS101,22-01-2024,P
L00222,BSAI-23-006,CS101,24-01-2024,P
L00223,BSAI-23-006,CS101,29-01-2024,P
L00224,BSAI-23-006,CS101,31-01-2024,P
