enrollment_id,roll_no,course_code,semester,enrollment_date,status
E0001,BSAI-23-001,CS101,2,15-01-2024,active
E0002,BSAI-23-001,CS111,2,15-01-2024,active
E0003,BSAI-23-001,HU101,2,15-01-2024,active
E0004,BSAI-23-001,IS101,2,15-01-2024,active
E0005,BSAI-23-001,CS121,2,15-01-2024,active
E0006,BSAI-23-002,CS101,2,15-01-2024,dropped
E0007,BSAI-23-002,CS111,2,15-01-2024,active
E0008,BSAI-23-002,HU101,2,15-01-2024,active
E0009,BSAI-23-002,IS101,2,15-01-2024,active
E0010,BSAI-23-003,CS101,2,15-01-2024,active
E0011,BSAI-23-003,CS111,2,15-01-2024,active
E0012,BSAI-23-003,HU101,2,15-01-2024,active
E0013,BSAI-23-003,IS101,2,15-01-2024,active
E0014,BSAI-23-004,CS101,2,15-01-2024,active
E0015,BSAI-23-004,CS111,2,15-01-2024,active
E0016,BSAI-23-004,HU101,2,15-01-2024,active
E0017,BSAI-23-004,IS101,2,15-01-2024,active
E0018,BSAI-23-004,CS121,2,15-01-2024,active
E0019,BSAI-23-005,CS101,2,15-01-2024,active
E0020,BSAI-23-005,CS111,2,15-01-2024,active
E0021,BSAI-23-005,HU101,2,15-01-2024,active
E0022,BSAI-23-005,IS101,2,15-01-2024,active
E0023,BSAI-23-006,CS101,2,15-01-2024,active
E0024,BSAI-23-006,CS111,2,15-01-2024,active
E0025,BSAI-23-006,HU101,2,15-01-2024,active
E0026,BSAI-23-006,IS101,2,15-01-2024,active
E0027,BSAI-23-006,CS121,2,15-01-2024,active
E0028,BSAI-23-007,CS101,2,15-01-2024,active
E0029,BSAI-23-007,CS111,2,15-01-2024,active
E0030,BSAI-23-007,HU101,2,15-01-2024,active
E0031,BSAI-23-007,IS101,2,15-01-2024,active
E0032,BSAI-23-008,CS101,2,15-01-2024,active
E0033,BSAI-23-008,CS111,2,15-01-2024,active
E0034,BSAI-23-008,HU101,2,15-01-2024,active
E0035,BSAI-23-008,IS101,2,15-01-2024,active
E0036,BSAI-23-009,CS101,2,15-01-2024,active
E0037,BSAI-23-009,CS111,2,15-01-2024,active
E0038,BSAI-23-009,HU101,2,15-01-2024,active
E0039,BSAI-23-009,IS101,2,15-01-2024,active
E0040,BSAI-23-010,CS101,2,15-01-2024,active
E0041,BSAI-23-010,CS111,2,15-01-2024,active
E0042,BSAI-23-010,HU101,2,15-01-2024,active
E0043,BSAI-23-010,IS101,2,15-01-2024,active
E0044,BSAI-23-011,CS101,2,15-01-2024,active
E0045,BSAI-23-011,CS111,2,15-01-2024,active
E0046,BSAI-23-011,HU101,2,15-01-2024,active
E0047,BSAI-23-011,IS101,2,15-01-2024,active
E0048,BSAI-23-012,CS101,2,15-01-2024,active
E0049,BSAI-23-012,CS111,2,15-01-2024,active
E0050,BSAI-23-012,HU101,2,15-01-2024,active
E0051,BSAI-23-012,IS101,2,15-01-2024,active
E0052,BSAI-23-012,CS121,2,15-01-2024,active
E0053,BSAI-23-013,CS101,2,15-01-2024,active
E0054,BSAI-23-013,CS111,2,15-01-2024,active
E0055,BSAI-23-013,HU101,2,15-01-2024,active
E0056,BSAI-23-013,IS101,2,15-01-2024,active
E0057,BSAI-23-014,CS101,2,15-01-2024,active
E0058,BSAI-23-014,CS111,2,15-01-2024,active
E0059,BSAI-23-014,HU101,2,15-01-2024,active
E0060,BSAI-23-014,IS101,2,15-01-2024,active
E0061,BSAI-23-014,CS121,2,15-01-2024,active
E0062,BSAI-23-015,CS101,2,15-01-2024,active
E0063,BSAI-23-015,CS111,2,15-01-2024,active
E0064,BSAI-23-015,HU101,2,15-01-2024,active
E0065,BSAI-23-015,IS101,2,15-01-2024,active
E0066,BSAI-23-016,CS101,2,15-01-2024,active
E0067,BSAI-23-016,CS111,2,15-01-2024,active
E0068,BSAI-23-016,HU101,2,15-01-2024,active
E0069,BSAI-23-016,IS101,2,15-01-2024,active
E0070,BSAI-23-017,CS101,2,15-01-2024,active
E0071,BSAI-23-017,CS111,2,15-01-2024,active
E0072,BSAI-23-017,HU101,2,15-01-2024,active
E0073,BSAI-23-017,IS101,2,15-01-2024,active
E0074,BSAI-23-018,CS101,2,15-01-2024,active
E0075,BSAI-23-018,CS111,2,15-01-2024,active
E0076,BSAI-23-018,HU101,2,15-01-2024,active
E0077,BSAI-23-018,IS101,2,15-01-2024,active
E0078,BSAI-23-020,CS101,2,15-01-2024,active
E0079,BSAI-23-020,CS111,2,15-01-2024,active
E0080,BSAI-23-020,HU101,2,15-01-2024,active
E0081,BSAI-23-020,IS101,2,15-01-2024,active
E0082,BSAI-23-021,CS101,2,15-01-2024,active
