fee_id,roll_no,semester,total_fee,amount_paid,due_date,payment_date,payment_method,status
F001,BSAI-23-001,2,25000,25000,28-02-2024,20-02-2024,Online,paid
F002,BSAI-23-002,2,23500,23500,28-02-2024,15-02-2024,Cash,paid
F003,BSAI-23-003,2,23500,23500,28-02-2024,14-03-2024,Cash,paid_late
F004,BSAI-23-004,2,25000,25000,28-02-2024,22-02-2024,Online,paid
F005,BSAI-23-005,2,23500,12000,28-02-2024,00-00-0000,Cash,partial
F006,BSAI-23-006,2,25000,25000,28-02-2024,10-02-2024,Bank,paid
F007,BSAI-23-007,2,23500,23500,28-02-2024,25-02-2024,Online,paid
F008,BSAI-23-008,2,23500,23500,28-02-2024,18-02-2024,Online,paid
F009,BSAI-23-009,2,23500,23500,28-02-2024,21-03-2024,Online,paid_late
F010,BSAI-23-010,2,23500,23500,28-02-2024,25-02-2024,Cash,paid
F011,BSAI-23-011,2,23500,23500,28-02-2024,10-03-2024,Online,paid_late
F012,BSAI-23-012,2,25000,25000,28-02-2024,14-02-2024,Online,paid
F013,BSAI-23-013,2,23500,5000,28-02-2024,00-00-0000,Cash,partial
F014,BSAI-23-014,2,25000,25000,28-02-2024,19-02-2024,Bank,paid
F015,BSAI-23-015,2,23500,0,28-02-2024,00-00-0000,NONE,unpaid
F016,BSAI-23-016,2,23500,48500,28-02-2024,22/02/2026,online,paid_late
F017,BSAI-23-017,2,23500,23500,28-02-2024,28-03-2024,Cash,paid_late
F018,BSAI-23-018,2,23500,23500,28-02-2024,27-02-2024,Cash,paid
F019,BSAI-23-020,2,23500,23500,28-02-2024,16-02-2024,Online,paid
F020,BSAI-23-021,2,23500,23500,28-02-2024,07-03-2024,Online,paid_late
F021,BSAI-23-022,2,25000,25000,28-02-2024,23-02-2024,Bank,paid
F022,BSAI-23-023,2,23500,23500,28-02-2024,11-04-2024,Cash,paid_late
F023,BSAI-23-024,2,25000,25000,28-02-2024,11-02-2024,Online,paid
F024,BSAI-23-025,2,23500,10000,28-02-2024,00-00-0000,Online,partial
F025,BSAI-23-026,2,23500,23500,28-02-2024,26-02-2024,Cash,paid
F026,BSAI-23-027,2,23500,23500,28-02-2024,17-02-2024,Online,paid
F027,BSAI-23-028,2,23500,23500,28-02-2024,04-04-2024,Online,paid_late
F028,BSAI-23-029,2,25000,25000,28-02-2024,28-02-2024,Bank,paid
F029,BSAI-23-030,2,23500,0,28-02-2024,00-00-0000,NONE,unpaid
